CD0,F/F01,F/F02,F/F03
0,1,1,1
0.015,1.654991243,1.958558559,1.798986486
0.03,2.499124343,2.681081081,2.569256757
0.0625,4.019264448,4.369369369,4.011824324
0.125,6.99474606,7.401801802,7.028716216
0.18,9.297723292,9.807207207,9.378378378
0.25,11.34676007,11.4972973,11.16216216
0.3,12.76882662,12.94234234,12.35810811
0.5,14.45884413,14.81441441,13.84797297
0.75,15.16287215,15.2972973,14.45777027
0.875,14.65849387,15.0954955,13.94425676
1.25,15.02276708,15.33153153,14.49662162
