CD0,F/F01,F/F02
0,1,1
1,1.48017621145374,1.34611398963731
1.5,1.6773127753304,1.5119170984456
3.125,2.21255506607929,2.07046632124352
6.25,3.04515418502203,2.75129533678756
12.5,3.90969162995595,3.53160621761658
25,4.82709251101322,4.52020725388601
50,5.70154185022026,5.29533678756477
75,6.43722466960352,6.07979274611399
150,8.49339207048458,7.66217616580311
