CD0,F/F01
0,1
1,1.01139321034064
1.5,1.01078595801284
3.125,1.02536001388005
6.25,1.11783586837083
12.5,1.15609276502227
25,1.19787750853045
50,1.23405239720086
75,1.25773523798508
150,1.29937539760569
