CD0,F/F01,F/F02
0,1,1
1,1.64428571428571,1.61196319018405
1.5,1.77857142857143,2.10276073619632
3.125,2.53571428571429,2.60736196319018
6.25,3.15571428571429,3.3941717791411
12.5,4.06142857142857,4.2898773006135
25,4.7,4.84662576687117
50,5.49428571428571,5.73926380368098
75,6.32714285714286,6.56901840490798
150,8.06,8.44938650306749
